Team,Result,Margin,BR,Toss,Bat,Opposition,Ground,Date,Captain
Australia,tied,-,0,lost,1st,England,Lord's,7/2/2005,
Australia,tied,-,0,lost,1st,South Africa,Birmingham,6/17/1999,
Australia,tied,-,0,lost,2nd,South Africa,Melbourne (Docklands),8/18/2000,
Australia,tied,-,0,lost,2nd,South Africa,Potchefstroom,3/27/2002,
Australia,tied,-,0,won,1st,West Indies,Kingstown,3/20/2012,
Australia,tied,-,0,won,2nd,West Indies,Georgetown,4/21/1999,
England,tied,-,0,lost,1st,New Zealand,Napier,2/20/2008,Daniel Vettori (NZ)
England,tied,-,0,lost,1st,South Africa,Bloemfontein,2/2/2005,
England,tied,-,0,lost,2nd,India,Bangalore,2/27/2011,
England,tied,-,0,lost,2nd,New Zealand,Napier,2/26/1997,Lee Germon (NZ)
England,tied,-,0,won,2nd,Australia,Lord's,7/2/2005,
England,tied,-,0,won,2nd,India,Lord's,9/11/2011,
India,tied,-,0,lost,1st,England,Lord's,9/11/2011,
India,tied,-,0,lost,2nd,Sri Lanka,Adelaide,2/14/2012,
India,tied,-,0,won,1st,England,Bangalore,2/27/2011,
India,tied,-,0,won,2nd,New Zealand,Auckland,1/25/2014,Brendon McCullum (NZ)
New Zealand,tied,-,0,lost,1st,India,Auckland,1/25/2014,Brendon McCullum (NZ)
New Zealand,tied,-,0,won,1st,England,Napier,2/26/1997,Lee Germon (NZ)
New Zealand,tied,-,0,won,1st,Sri Lanka,Sharjah,11/11/1996,Lee Germon (NZ)
New Zealand,tied,-,0,won,2nd,England,Napier,2/20/2008,Daniel Vettori (NZ)
Pakistan,tied,-,0,lost,1st,West Indies,Gros Islet,7/19/2013,
Pakistan,tied,-,0,won,1st,Sri Lanka,Sharjah,10/15/1999,
South Africa,tied,-,0,lost,1st,West Indies,Cardiff,6/14/2013,
South Africa,tied,-,0,lost,2nd,Sri Lanka,Durban,3/3/2003,
South Africa,tied,-,0,won,1st,Australia,Melbourne (Docklands),8/18/2000,
South Africa,tied,-,0,won,1st,Australia,Potchefstroom,3/27/2002,
South Africa,tied,-,0,won,2nd,Australia,Birmingham,6/17/1999,
South Africa,tied,-,0,won,2nd,England,Bloemfontein,2/2/2005,
Sri Lanka,tied,-,0,lost,2nd,New Zealand,Sharjah,11/11/1996,Lee Germon (NZ)
Sri Lanka,tied,-,0,lost,2nd,Pakistan,Sharjah,10/15/1999,
Sri Lanka,tied,-,0,won,1st,India,Adelaide,2/14/2012,
Sri Lanka,tied,-,0,won,1st,South Africa,Durban,3/3/2003,
West Indies,tied,-,0,lost,1st,Australia,Georgetown,4/21/1999,
West Indies,tied,-,0,lost,2nd,Australia,Kingstown,3/20/2012,
West Indies,tied,-,0,won,2nd,Pakistan,Gros Islet,7/19/2013,
West Indies,tied,-,0,won,2nd,South Africa,Cardiff,6/14/2013,
Australia,lost,1 runs,0,lost,2nd,Sri Lanka,Dambulla,2/22/2004,
Australia,won,1 runs,0,lost,1st,West Indies,Basseterre,7/4/2008,
Australia,won,1 runs,0,won,1st,Pakistan,Abu Dhabi,10/12/2014,
England,lost,1 runs,0,lost,2nd,South Africa,Cape Town,1/26/2000,
England,won,1 runs,0,won,1st,West Indies,Providence,3/20/2009,
India,lost,1 runs,0,won,2nd,West Indies,Kingston,5/20/2006,
India,won,1 runs,0,lost,1st,South Africa,Jaipur,2/21/2010,
India,won,1 runs,0,won,1st,South Africa,Johannesburg,1/15/2011,
New Zealand,lost,1 runs,0,lost,2nd,South Africa,Hobart,12/11/1997,Stephen Fleming (NZ)
Pakistan,lost,1 runs,0,lost,1st,West Indies,Bridgetown,5/2/2011,
Pakistan,lost,1 runs,0,lost,2nd,Australia,Abu Dhabi,10/12/2014,
Pakistan,lost,1 runs,0,lost,2nd,South Africa,Sharjah,10/30/2013,
Pakistan,won,1 runs,0,lost,1st,South Africa,Port Elizabeth,11/27/2013,
South Africa,lost,1 runs,0,lost,2nd,India,Johannesburg,1/15/2011,
South Africa,lost,1 runs,0,won,2nd,India,Jaipur,2/21/2010,
South Africa,lost,1 runs,0,won,2nd,Pakistan,Port Elizabeth,11/27/2013,
South Africa,won,1 runs,0,lost,1st,West Indies,Bridgetown,5/11/2005,
South Africa,won,1 runs,0,won,1st,England,Cape Town,1/26/2000,
