Team,Result,Margin,BR,Toss,Bat,,Opposition,Ground,Start Date
West Indies,won,7 wickets,143,lost,2nd,,v Sri Lanka,Brisbane,5/01/1996
Sri Lanka,lost,7 wickets,143,won,1st,,v West Indies,Brisbane,5/01/1996
West Indies,won,14 runs,0,lost,1st,,v Australia,Brisbane,7/01/1996
Australia,lost,14 runs,0,won,2nd,,v West Indies,Brisbane,7/01/1996
Sri Lanka,won,3 wickets,15,lost,2nd,,v Australia,Melbourne,9/01/1996
Australia,lost,3 wickets,15,won,1st,,v Sri Lanka,Melbourne,9/01/1996
South Africa,won,6 runs,0,won,1st,,v England,Cape Town,9/01/1996
England,lost,6 runs,0,lost,2nd,,v South Africa,Cape Town,9/01/1996
England,won,5 wickets,10,lost,2nd,,v South Africa,Bloemfontein,11/01/1996
South Africa,lost,5 wickets,10,won,1st,,v England,Bloemfontein,11/01/1996
Australia,won,83 runs,0,won,1st,,v Sri Lanka,Perth,12/01/1996
Sri Lanka,lost,83 runs,0,lost,2nd,,v Australia,Perth,12/01/1996
South Africa,won,3 wickets,11,lost,2nd,,v England,Johannesburg,13/01/1996
England,lost,3 wickets,11,won,1st,,v South Africa,Johannesburg,13/01/1996
Sri Lanka,won,16 runs,0,lost,1st,,v West Indies,Perth,14/01/1996
West Indies,lost,16 runs,0,won,2nd,,v Sri Lanka,Perth,14/01/1996
South Africa,won,7 wickets,12,lost,2nd,,v England,Centurion,14/01/1996
England,lost,7 wickets,12,won,1st,,v South Africa,Centurion,14/01/1996
Sri Lanka,won,3 wickets,2,lost,2nd,,v Australia,Melbourne,16/01/1996
Australia,lost,3 wickets,2,won,1st,,v Sri Lanka,Melbourne,16/01/1996
South Africa,won,5 wickets,10,won,2nd,,v England,Durban,17/01/1996
England,lost,5 wickets,10,lost,1st,,v South Africa,Durban,17/01/1996
Australia,won,18 runs,0,lost,1st,,v Sri Lanka,Melbourne,18/01/1996
Sri Lanka,lost,18 runs,0,won,2nd,,v Australia,Melbourne,18/01/1996
South Africa,won,14 runs,0,won,1st,,v England,East London,19/01/1996
England,lost,14 runs,0,lost,2nd,,v South Africa,East London,19/01/1996
Australia,won,9 runs,0,lost,1st,,v Sri Lanka,Sydney,20/01/1996
Sri Lanka,lost,9 runs,0,won,2nd,,v Australia,Sydney,20/01/1996
South Africa,won,64 runs,0,won,1st,,v England,Port Elizabeth,21/01/1996
England,lost,64 runs,0,lost,2nd,,v South Africa,Port Elizabeth,21/01/1996
New Zealand,won,11 runs,0,lost,1st,,v England,Ahmedabad,14/02/1996
England,lost,11 runs,0,won,2nd,,v New Zealand,Ahmedabad,14/02/1996
South Africa,won,5 wickets,75,lost,2nd,,v New Zealand,Faisalabad,20/02/1996
New Zealand,lost,5 wickets,75,won,1st,,v South Africa,Faisalabad,20/02/1996
India,won,5 wickets,62,lost,2nd,,v West Indies,Gwalior,21/02/1996
West Indies,lost,5 wickets,62,won,1st,,v India,Gwalior,21/02/1996
South Africa,won,78 runs,0,won,1st,,v England,Rawalpindi,25/02/1996
England,lost,78 runs,0,lost,2nd,,v South Africa,Rawalpindi,25/02/1996
Australia,won,16 runs,0,won,1st,,v India,Mumbai,27/02/1996
India,lost,16 runs,0,lost,2nd,,v Australia,Mumbai,27/02/1996
South Africa,won,5 wickets,34,lost,2nd,,v Pakistan,Karachi,29/02/1996
Pakistan,lost,5 wickets,34,won,1st,,v South Africa,Karachi,29/02/1996
Sri Lanka,won,6 wickets,8,won,2nd,,v India,Delhi,2/03/1996
India,lost,6 wickets,8,lost,1st,,v Sri Lanka,Delhi,2/03/1996
Pakistan,won,7 wickets,14,lost,2nd,,v England,Karachi,3/03/1996
England,lost,7 wickets,14,won,1st,,v Pakistan,Karachi,3/03/1996
West Indies,won,4 wickets,7,lost,2nd,,v Australia,Jaipur,4/03/1996
Australia,lost,4 wickets,7,won,1st,,v West Indies,Jaipur,4/03/1996
Pakistan,won,46 runs,0,lost,1st,,v New Zealand,Lahore,6/03/1996
New Zealand,lost,46 runs,0,won,2nd,,v Pakistan,Lahore,6/03/1996
Sri Lanka,won,5 wickets,56,lost,2nd,,v England,Faisalabad,9/03/1996
England,lost,5 wickets,56,won,1st,,v Sri Lanka,Faisalabad,9/03/1996
India,won,39 runs,0,won,1st,,v Pakistan,Bangalore,9/03/1996
Pakistan,lost,39 runs,0,lost,2nd,,v India,Bangalore,9/03/1996
West Indies,won,19 runs,0,won,1st,,v South Africa,Karachi,11/03/1996
South Africa,lost,19 runs,0,lost,2nd,,v West Indies,Karachi,11/03/1996
Australia,won,6 wickets,13,lost,2nd,,v New Zealand,Chennai,11/03/1996
New Zealand,lost,6 wickets,13,won,1st,,v Australia,Chennai,11/03/1996
Sri Lanka,won,,0,lost,1st,,v India,Kolkata,13/03/1996
India,lost,,0,won,2nd,,v Sri Lanka,Kolkata,13/03/1996
Australia,won,5 runs,0,won,1st,,v West Indies,Mohali,14/03/1996
West Indies,lost,5 runs,0,lost,2nd,,v Australia,Mohali,14/03/1996
Sri Lanka,won,7 wickets,22,won,2nd,,v Australia,Lahore,17/03/1996
Australia,lost,7 wickets,22,lost,1st,,v Sri Lanka,Lahore,17/03/1996
West Indies,won,1 wickets,5,won,2nd,,v New Zealand,Kingston,26/03/1996
New Zealand,lost,1 wickets,5,lost,1st,,v West Indies,Kingston,26/03/1996
New Zealand,won,4 wickets,1,won,2nd,,v West Indies,Port of Spain,29/03/1996
West Indies,lost,4 wickets,1,lost,1st,,v New Zealand,Port of Spain,29/03/1996
West Indies,won,7 wickets,26,lost,2nd,,v New Zealand,Port of Spain,30/03/1996
New Zealand,lost,7 wickets,26,won,1st,,v West Indies,Port of Spain,30/03/1996
Sri Lanka,won,34 runs,0,lost,1st,,v Pakistan,Singapore,2/04/1996
Pakistan,lost,34 runs,0,won,2nd,,v Sri Lanka,Singapore,2/04/1996
India,won,12 runs,0,won,1st,,v Sri Lanka,Singapore,3/04/1996
Sri Lanka,lost,12 runs,0,lost,2nd,,v India,Singapore,3/04/1996
New Zealand,won,4 runs,0,lost,1st,,v West Indies,Georgetown,3/04/1996
West Indies,lost,4 runs,0,won,2nd,,v New Zealand,Georgetown,3/04/1996
Pakistan,won,8 wickets,30,won,2nd,,v India,Singapore,5/04/1996
India,lost,8 wickets,30,lost,1st,,v Pakistan,Singapore,5/04/1996
West Indies,won,7 wickets,9,won,2nd,,v New Zealand,Kingstown,6/04/1996
New Zealand,lost,7 wickets,9,lost,1st,,v West Indies,Kingstown,6/04/1996
Pakistan,won,43 runs,0,lost,1st,,v Sri Lanka,Singapore,7/04/1996
Sri Lanka,lost,43 runs,0,won,2nd,,v Pakistan,Singapore,7/04/1996
Pakistan,won,38 runs,0,lost,1st,,v India,Sharjah,12/04/1996
India,lost,38 runs,0,won,2nd,,v Pakistan,Sharjah,12/04/1996
South Africa,won,143 runs,0,won,1st,,v Pakistan,Sharjah,13/04/1996
Pakistan,lost,143 runs,0,lost,2nd,,v South Africa,Sharjah,13/04/1996
Sri Lanka,won,35 runs,0,won,1st,,v West Indies,Port of Spain,13/04/1996
West Indies,lost,35 runs,0,lost,2nd,,v Sri Lanka,Port of Spain,13/04/1996
South Africa,won,80 runs,0,won,1st,,v India,Sharjah,14/04/1996
India,lost,80 runs,0,lost,2nd,,v South Africa,Sharjah,14/04/1996
India,won,28 runs,0,won,1st,,v Pakistan,Sharjah,15/04/1996
Pakistan,lost,28 runs,0,lost,2nd,,v India,Sharjah,15/04/1996
South Africa,won,8 wickets,101,lost,2nd,,v Pakistan,Sharjah,16/04/1996
Pakistan,lost,8 wickets,101,won,1st,,v South Africa,Sharjah,16/04/1996
South Africa,won,5 wickets,17,lost,2nd,,v India,Sharjah,17/04/1996
India,lost,5 wickets,17,won,1st,,v South Africa,Sharjah,17/04/1996
South Africa,won,38 runs,0,won,1st,,v India,Sharjah,19/04/1996
India,lost,38 runs,0,lost,2nd,,v South Africa,Sharjah,19/04/1996
England,won,6 wickets,15,won,2nd,,v India,Leeds,25/05/1996
India,lost,6 wickets,15,lost,1st,,v England,Leeds,25/05/1996
England,won,4 wickets,7,lost,2nd,,v India,Manchester,26/05/1996
India,lost,4 wickets,7,won,1st,,v England,Manchester,26/05/1996
Sri Lanka,won,9 wickets,34,lost,2nd,,v India,Colombo (RPS),28/08/1996
India,lost,9 wickets,34,won,1st,,v Sri Lanka,Colombo (RPS),28/08/1996
England,won,5 wickets,20,lost,2nd,,v Pakistan,Manchester,29/08/1996
Pakistan,lost,5 wickets,20,won,1st,,v England,Manchester,29/08/1996
Sri Lanka,won,4 wickets,25,lost,2nd,,v Australia,Colombo (RPS),30/08/1996
Australia,lost,4 wickets,25,won,1st,,v Sri Lanka,Colombo (RPS),30/08/1996
England,won,107 runs,0,lost,1st,,v Pakistan,Birmingham,31/08/1996
Pakistan,lost,107 runs,0,won,2nd,,v England,Birmingham,31/08/1996
Pakistan,won,2 wickets,2,lost,2nd,,v England,Nottingham,1/09/1996
England,lost,2 wickets,2,won,1st,,v Pakistan,Nottingham,1/09/1996
Australia,won,3 wickets,3,won,2nd,,v India,Colombo (SSC),6/09/1996
India,lost,3 wickets,3,lost,1st,,v Australia,Colombo (SSC),6/09/1996
Sri Lanka,won,50 runs,0,lost,1st,,v Australia,Colombo (RPS),7/09/1996
Australia,lost,50 runs,0,won,2nd,,v Sri Lanka,Colombo (RPS),7/09/1996
India,won,8 wickets,19,won,2nd,,v Pakistan,Toronto,16/09/1996
Pakistan,lost,8 wickets,19,lost,1st,,v India,Toronto,16/09/1996
Pakistan,won,2 wickets,1,won,2nd,,v India,Toronto,17/09/1996
India,lost,2 wickets,1,lost,1st,,v Pakistan,Toronto,17/09/1996
India,won,55 runs,0,won,1st,,v Pakistan,Toronto,18/09/1996
Pakistan,lost,55 runs,0,lost,2nd,,v India,Toronto,18/09/1996
Pakistan,won,97 runs,0,lost,1st,,v India,Toronto,21/09/1996
India,lost,97 runs,0,won,2nd,,v Pakistan,Toronto,21/09/1996
Pakistan,won,52 runs,0,won,1st,,v India,Toronto,23/09/1996
India,lost,52 runs,0,lost,2nd,,v Pakistan,Toronto,23/09/1996
South Africa,won,62 runs,0,lost,1st,,v Pakistan,Nairobi (Gym),29/09/1996
Pakistan,lost,62 runs,0,won,2nd,,v South Africa,Nairobi (Gym),29/09/1996
Sri Lanka,won,2 wickets,56,lost,2nd,,v South Africa,Nairobi (Club),1/10/1996
South Africa,lost,2 wickets,56,won,1st,,v Sri Lanka,Nairobi (Club),1/10/1996
Pakistan,won,82 runs,0,lost,1st,,v Sri Lanka,Nairobi (Gym),4/10/1996
Sri Lanka,lost,82 runs,0,won,2nd,,v Pakistan,Nairobi (Gym),4/10/1996
South Africa,won,7 wickets,64,lost,2nd,,v Pakistan,Nairobi (Gym),6/10/1996
Pakistan,lost,7 wickets,64,won,1st,,v South Africa,Nairobi (Gym),6/10/1996
South Africa,won,47 runs,0,won,1st,,v India,Hyderabad (Deccan),17/10/1996
India,lost,47 runs,0,lost,2nd,,v South Africa,Hyderabad (Deccan),17/10/1996
South Africa,won,7 wickets,23,lost,2nd,,v Australia,Indore,19/10/1996
Australia,lost,7 wickets,23,won,1st,,v South Africa,Indore,19/10/1996
India,won,2 wickets,7,lost,2nd,,v Australia,Bangalore,21/10/1996
Australia,lost,2 wickets,7,won,1st,,v India,Bangalore,21/10/1996
South Africa,won,27 runs,0,lost,1st,,v India,Jaipur,23/10/1996
India,lost,27 runs,0,won,2nd,,v South Africa,Jaipur,23/10/1996
South Africa,won,2 wickets,16,lost,2nd,,v Australia,Faridabad,25/10/1996
Australia,lost,2 wickets,16,won,1st,,v South Africa,Faridabad,25/10/1996
South Africa,won,5 wickets,8,lost,2nd,,v India,Rajkot,29/10/1996
India,lost,5 wickets,8,won,1st,,v South Africa,Rajkot,29/10/1996
South Africa,won,8 wickets,30,lost,2nd,,v Australia,Guwahati,1/11/1996
Australia,lost,8 wickets,30,won,1st,,v South Africa,Guwahati,1/11/1996
India,won,5 runs,0,lost,1st,,v Australia,Mohali,3/11/1996
Australia,lost,5 runs,0,won,2nd,,v India,Mohali,3/11/1996
India,won,35 runs,0,won,1st,,v South Africa,Mumbai,6/11/1996
