Team,Result,Margin,BR,Toss,Bat,Opposition,Ground,Date
West Indies,won,7 wickets,143,lost,2nd,Sri Lanka,Brisbane,5-Jan-96
Sri Lanka,lost,7 wickets,143,won,1st,West Indies,Brisbane,5-Jan-96
West Indies,won,14 runs,0,lost,1st,Australia,Brisbane,7-Jan-96
Australia,lost,14 runs,0,won,2nd,West Indies,Brisbane,7-Jan-96
Sri Lanka,won,3 wickets,15,lost,2nd,Australia,Melbourne,9-Jan-96
Australia,lost,3 wickets,15,won,1st,Sri Lanka,Melbourne,9-Jan-96
South Africa,won,6 runs,0,won,1st,England,Cape Town,9-Jan-96
England,lost,6 runs,0,lost,2nd,South Africa,Cape Town,9-Jan-96
England,won,5 wickets,10,lost,2nd,South Africa,Bloemfontein,11-Jan-96
South Africa,lost,5 wickets,10,won,1st,England,Bloemfontein,11-Jan-96
Australia,won,83 runs,0,won,1st,Sri Lanka,Perth,12-Jan-96
Sri Lanka,lost,83 runs,0,lost,2nd,Australia,Perth,12-Jan-96
South Africa,won,3 wickets,11,lost,2nd,England,Johannesburg,13-Jan-96
England,lost,3 wickets,11,won,1st,South Africa,Johannesburg,13-Jan-96
Sri Lanka,won,16 runs,0,lost,1st,West Indies,Perth,14-Jan-96
West Indies,lost,16 runs,0,won,2nd,Sri Lanka,Perth,14-Jan-96
South Africa,won,7 wickets,12,lost,2nd,England,Centurion,14-Jan-96
England,lost,7 wickets,12,won,1st,South Africa,Centurion,14-Jan-96
Sri Lanka,won,3 wickets,2,lost,2nd,Australia,Melbourne,16-Jan-96
Australia,lost,3 wickets,2,won,1st,Sri Lanka,Melbourne,16-Jan-96
South Africa,won,5 wickets,10,won,2nd,England,Durban,17-Jan-96
England,lost,5 wickets,10,lost,1st,South Africa,Durban,17-Jan-96
Australia,won,18 runs,0,lost,1st,Sri Lanka,Melbourne,18-Jan-96
Sri Lanka,lost,18 runs,0,won,2nd,Australia,Melbourne,18-Jan-96
South Africa,won,14 runs,0,won,1st,England,East London,19-Jan-96
England,lost,14 runs,0,lost,2nd,South Africa,East London,19-Jan-96
Australia,won,9 runs,0,lost,1st,Sri Lanka,Sydney,20-Jan-96
Sri Lanka,lost,9 runs,0,won,2nd,Australia,Sydney,20-Jan-96
South Africa,won,64 runs,0,won,1st,England,Port Elizabeth,21-Jan-96
England,lost,64 runs,0,lost,2nd,South Africa,Port Elizabeth,21-Jan-96
New Zealand,won,11 runs,0,lost,1st,England,Ahmedabad,14-Feb-96
England,lost,11 runs,0,won,2nd,New Zealand,Ahmedabad,14-Feb-96
South Africa,won,5 wickets,75,lost,2nd,New Zealand,Faisalabad,20-Feb-96
New Zealand,lost,5 wickets,75,won,1st,South Africa,Faisalabad,20-Feb-96
India,won,5 wickets,62,lost,2nd,West Indies,Gwalior,21-Feb-96
West Indies,lost,5 wickets,62,won,1st,India,Gwalior,21-Feb-96
South Africa,won,78 runs,0,won,1st,England,Rawalpindi,25-Feb-96
England,lost,78 runs,0,lost,2nd,South Africa,Rawalpindi,25-Feb-96
Australia,won,16 runs,0,won,1st,India,Mumbai,27-Feb-96
India,lost,16 runs,0,lost,2nd,Australia,Mumbai,27-Feb-96
South Africa,won,5 wickets,34,lost,2nd,Pakistan,Karachi,29-Feb-96
Pakistan,lost,5 wickets,34,won,1st,South Africa,Karachi,29-Feb-96
Sri Lanka,won,6 wickets,8,won,2nd,India,Delhi,2-Mar-96
India,lost,6 wickets,8,lost,1st,Sri Lanka,Delhi,2-Mar-96
Pakistan,won,7 wickets,14,lost,2nd,England,Karachi,3-Mar-96
England,lost,7 wickets,14,won,1st,Pakistan,Karachi,3-Mar-96
West Indies,won,4 wickets,7,lost,2nd,Australia,Jaipur,4-Mar-96
Australia,lost,4 wickets,7,won,1st,West Indies,Jaipur,4-Mar-96
Pakistan,won,46 runs,0,lost,1st,New Zealand,Lahore,6-Mar-96
New Zealand,lost,46 runs,0,won,2nd,Pakistan,Lahore,6-Mar-96
Sri Lanka,won,5 wickets,56,lost,2nd,England,Faisalabad,9-Mar-96
England,lost,5 wickets,56,won,1st,Sri Lanka,Faisalabad,9-Mar-96
India,won,39 runs,0,won,1st,Pakistan,Bangalore,9-Mar-96
Pakistan,lost,39 runs,0,lost,2nd,India,Bangalore,9-Mar-96
West Indies,won,19 runs,0,won,1st,South Africa,Karachi,11-Mar-96
South Africa,lost,19 runs,0,lost,2nd,West Indies,Karachi,11-Mar-96
Australia,won,6 wickets,13,lost,2nd,New Zealand,Chennai,11-Mar-96
New Zealand,lost,6 wickets,13,won,1st,Australia,Chennai,11-Mar-96
Sri Lanka,won,,0,lost,1st,India,Kolkata,13-Mar-96
India,lost,,0,won,2nd,Sri Lanka,Kolkata,13-Mar-96
Australia,won,5 runs,0,won,1st,West Indies,Mohali,14-Mar-96
West Indies,lost,5 runs,0,lost,2nd,Australia,Mohali,14-Mar-96
Sri Lanka,won,7 wickets,22,won,2nd,Australia,Lahore,17-Mar-96
Australia,lost,7 wickets,22,lost,1st,Sri Lanka,Lahore,17-Mar-96
West Indies,won,1 wickets,5,won,2nd,New Zealand,Kingston,26-Mar-96
New Zealand,lost,1 wickets,5,lost,1st,West Indies,Kingston,26-Mar-96
New Zealand,won,4 wickets,1,won,2nd,West Indies,Port of Spain,29-Mar-96
West Indies,lost,4 wickets,1,lost,1st,New Zealand,Port of Spain,29-Mar-96
West Indies,won,7 wickets,26,lost,2nd,New Zealand,Port of Spain,30-Mar-96
New Zealand,lost,7 wickets,26,won,1st,West Indies,Port of Spain,30-Mar-96
Sri Lanka,won,34 runs,0,lost,1st,Pakistan,Singapore,2-Apr-96
Pakistan,lost,34 runs,0,won,2nd,Sri Lanka,Singapore,2-Apr-96
India,won,12 runs,0,won,1st,Sri Lanka,Singapore,3-Apr-96
Sri Lanka,lost,12 runs,0,lost,2nd,India,Singapore,3-Apr-96
New Zealand,won,4 runs,0,lost,1st,West Indies,Georgetown,3-Apr-96
West Indies,lost,4 runs,0,won,2nd,New Zealand,Georgetown,3-Apr-96
Pakistan,won,8 wickets,30,won,2nd,India,Singapore,5-Apr-96
India,lost,8 wickets,30,lost,1st,Pakistan,Singapore,5-Apr-96
West Indies,won,7 wickets,9,won,2nd,New Zealand,Kingstown,6-Apr-96
New Zealand,lost,7 wickets,9,lost,1st,West Indies,Kingstown,6-Apr-96
Pakistan,won,43 runs,0,lost,1st,Sri Lanka,Singapore,7-Apr-96
Sri Lanka,lost,43 runs,0,won,2nd,Pakistan,Singapore,7-Apr-96
Pakistan,won,38 runs,0,lost,1st,India,Sharjah,12-Apr-96
India,lost,38 runs,0,won,2nd,Pakistan,Sharjah,12-Apr-96
South Africa,won,143 runs,0,won,1st,Pakistan,Sharjah,13-Apr-96
Pakistan,lost,143 runs,0,lost,2nd,South Africa,Sharjah,13-Apr-96
Sri Lanka,won,35 runs,0,won,1st,West Indies,Port of Spain,13-Apr-96
West Indies,lost,35 runs,0,lost,2nd,Sri Lanka,Port of Spain,13-Apr-96
South Africa,won,80 runs,0,won,1st,India,Sharjah,14-Apr-96
India,lost,80 runs,0,lost,2nd,South Africa,Sharjah,14-Apr-96
India,won,28 runs,0,won,1st,Pakistan,Sharjah,15-Apr-96
Pakistan,lost,28 runs,0,lost,2nd,India,Sharjah,15-Apr-96
South Africa,won,8 wickets,101,lost,2nd,Pakistan,Sharjah,16-Apr-96
Pakistan,lost,8 wickets,101,won,1st,South Africa,Sharjah,16-Apr-96
South Africa,won,5 wickets,17,lost,2nd,India,Sharjah,17-Apr-96
India,lost,5 wickets,17,won,1st,South Africa,Sharjah,17-Apr-96
South Africa,won,38 runs,0,won,1st,India,Sharjah,19-Apr-96
